index,adc,desired_current_thirds_ma,actual_current_thirds_ma
138,2509,1200,-64
139,2504,1200,1097
140,2506,1200,765
141,2501,1200,1080
142,2496,1200,921
143,2499,1200,748
144,2495,1200,1058
145,2491,1200,853
146,2486,1200,927
147,2480,1200,865
148,2485,1200,1073
149,2472,1200,725
150,2470,1200,1166
151,2471,1200,574
152,2468,1200,1339
153,2465,1200,-15
154,2460,1200,1339
155,2455,1200,334
156,2461,1200,1384
157,2455,1200,482
158,2453,1200,1476
159,2454,1200,-145
160,2449,1200,1064
161,2450,1200,820
162,2443,1200,1051
163,2447,1200,647
164,2443,1200,1608
165,2445,1200,-112
166,2436,1200,1275
167,2437,1200,401
168,2432,1200,1179
169,2432,1200,443
170,2417,1200,1332
171,2417,1200,167
172,2412,1200,1348
173,2411,1200,351
174,2406,1200,1371
175,2405,1200,285
176,2405,1200,1026
177,2397,1200,815
178,2394,1200,1081
179,2391,1200,603
180,2395,1200,1284
181,2393,1200,521
182,2394,1200,1352
183,2386,1200,142
184,2377,1200,791
185,2366,1200,1295
186,2364,1200,479
187,2363,1200,1326
188,2358,1200,90
189,2357,1200,891
190,2348,1200,867
191,2356,1200,1179
192,2354,1200,459
193,2348,1200,1259
194,2349,1200,370
195,2347,1200,1195
196,2340,1200,376
197,2337,1200,1159
198,2316,1200,538
199,2325,1200,1184
200,2327,1200,478
201,2324,1200,1136
202,2317,1200,604
203,2316,1200,1020
204,2310,1200,1018
205,2307,1200,760
206,2282,1200,1297
207,2301,1200,366
208,2294,1200,1201
209,2288,1200,265
210,2292,1200,928
211,2290,1200,932
212,2288,1200,686
213,2278,1200,1308
214,2280,1200,257
215,2274,1200,1004
216,2266,1200,967
217,2266,1200,820
218,2260,1200,1083
219,2258,1200,656
220,2240,1200,1075
221,2257,1200,615
222,2266,1200,1063
223,2248,1200,642
224,2246,1200,1037
225,2238,1200,568
226,2234,1200,808
227,2240,1200,943
228,2222,1200,740
229,2221,1200,1245
230,2213,1200,139
231,2207,1200,940
232,2224,1200,782
233,2206,1200,1150
234,2202,1200,762
235,2209,1200,757
236,2203,1200,1229
237,2198,1200,249
238,2193,1200,748
239,2183,1200,1251
240,2179,1200,289
241,2194,1200,774
242,2168,1200,1231
243,2176,1200,243
244,2155,1200,682
245,2159,1200,869
246,2156,1200,858
247,2154,1200,763
248,2144,1200,887
249,2152,1200,836
250,2142,1200,821
251,2127,1200,873
252,2130,1200,874
253,2132,1200,931
254,2129,1200,904
255,2125,1200,878
256,2113,1200,986
257,2103,1200,874
258,2106,1200,909
259,2100,1200,921
260,2100,1200,965
261,2103,1200,765
262,2101,1200,723
263,2092,1200,745
264,2073,1200,799
265,2080,1200,796
266,2075,1200,777
267,2073,1200,895
268,2070,1200,873
269,2060,1200,630
270,2056,1200,634
271,2073,1200,613
272,2054,1200,744
273,2045,1200,723
274,2045,1200,835
275,2014,1200,836
276,2026,1200,830
277,2020,1200,633
278,2011,1200,621
279,2004,1200,643
280,2007,1200,716
281,2006,1200,719
282,1999,1200,872
283,1994,1200,889
284,1986,1200,684
285,1988,1200,648
286,1981,1200,656
287,1969,1200,648
288,1960,1200,791
289,1947,1200,803
290,1951,1200,599
291,1946,1200,616
292,1942,1200,606
293,1939,1200,725
294,1942,1200,728
295,1935,1200,760
296,1933,1200,583
297,1929,1200,577
298,1929,1200,689
299,1926,1200,698
300,1921,1200,726
301,1907,1200,564
302,1893,1200,560
303,1897,1200,586
304,1888,1200,689
305,1901,1200,723
306,1883,1200,558
307,1876,1200,554
308,1871,1200,576
309,1867,1200,702
310,1868,1200,755
311,1862,1200,709
312,1849,1200,551
313,1844,1200,575
314,1838,1200,692
315,1828,1200,625
316,1826,1200,488
317,1826,1200,564
318,1818,1200,587
319,1815,1200,469
320,1826,1200,486
321,1799,1200,515
322,1791,1200,597
323,1766,1200,638
324,1783,1200,691
325,1775,1200,512
326,1780,1200,528
327,1774,1200,691
328,1759,1200,687
329,1770,1200,453
330,1761,1200,536
331,1757,1200,556
332,1753,1200,585
333,1748,1200,473
334,1735,1200,493
335,1728,1200,596
336,1723,1200,655
337,1718,1200,598
338,1710,1200,503
339,1703,1200,520
340,1722,1200,548
341,1698,1200,436
342,1697,1200,480
343,1696,1200,565
344,1693,1200,617
345,1687,1200,660
346,1685,1200,477
347,1681,1200,512
348,1667,1186,535
349,1661,1174,434
350,1655,1162,468
351,1647,1146,556
352,1627,1106,626
353,1625,1102,532
354,1620,1092,477
355,1621,1094,503
356,1611,1074,421
357,1621,1094,440
358,1618,1088,465
359,1611,1074,579
360,1607,1066,604
361,1595,1042,435
362,1585,1022,489
363,1584,1020,525
364,1583,1018,439
365,1577,1006,437
366,1570,992,468
367,1570,992,590
368,1552,956,466
369,1558,968,436
370,1558,968,507
371,1557,966,568
372,1554,960,455
373,1550,952,459
374,1534,920,491
375,1521,894,412
376,1511,874,427
377,1519,890,452
378,1513,878,574
379,1493,838,576
380,1510,872,464
381,1510,872,482
382,1502,856,525
383,1492,836,439
384,1483,818,432
385,1480,812,464
386,1478,808,479
387,1475,802,409
388,1474,800,497
389,1462,776,533
390,1451,754,623
391,1447,746,450
392,1431,714,464
393,1438,728,504
394,1438,728,421
395,1429,710,430
396,1432,716,574
397,1420,692,564
398,1413,678,393
399,1401,654,481
400,1405,662,529
401,1402,656,424
402,1399,650,447
